m,n,func,seed,ins_ms,coll_tbl,coll_lst,find_ms_hits,find_ms_misses,cmp_hits,cmp_misses,checksum
1009,1000,H_DIV,137,0,362,0,0,0,1,1,4960
1009,1000,H_DIV,271828,0,381,0,0,0,1,1,5958
1009,1000,H_DIV,314159,0,372,0,0,0,1,0,5361
1009,10000,H_DIV,137,1,8991,4,1,1,6,9,4960
1009,10000,H_DIV,271828,0,8991,4,0,1,6,9,5958
1009,10000,H_DIV,314159,0,8991,4,0,0,6,9,5361
1009,100000,H_DIV,137,289,98991,48,128,272,53,99,4960
1009,100000,H_DIV,271828,109,98991,48,97,211,53,99,5958
1009,100000,H_DIV,314159,79,98991,48,105,231,53,99,5361
1009,1000,H_MUL,137,0,364,0,0,0,1,1,4716
1009,1000,H_MUL,271828,0,350,0,0,0,1,0,5441
1009,1000,H_MUL,314159,0,371,0,0,0,1,0,5844
1009,10000,H_MUL,137,1,8991,4,0,1,6,9,4716
1009,10000,H_MUL,271828,0,8991,4,0,1,6,9,5441
1009,10000,H_MUL,314159,0,8991,4,0,1,6,9,5844
1009,100000,H_MUL,137,113,98991,48,101,251,53,99,4716
1009,100000,H_MUL,271828,110,98991,48,106,221,53,99,5441
1009,100000,H_MUL,314159,84,98991,48,94,219,53,99,5844
1009,1000,H_FOLD,137,0,379,0,0,0,1,0,5968
1009,1000,H_FOLD,271828,0,369,0,0,0,1,0,5904
1009,1000,H_FOLD,314159,0,368,0,0,0,1,1,4854
1009,10000,H_FOLD,137,1,8991,4,0,1,6,9,5968
1009,10000,H_FOLD,271828,0,8991,4,0,1,6,9,5904
1009,10000,H_FOLD,314159,0,8991,4,0,1,6,9,4854
1009,100000,H_FOLD,137,92,98991,48,89,193,53,99,5968
1009,100000,H_FOLD,271828,81,98991,48,84,195,53,99,5904
1009,100000,H_FOLD,314159,90,98991,48,88,221,53,99,4854
10007,1000,H_DIV,137,0,49,0,0,0,1,0,58248
10007,1000,H_DIV,271828,0,42,0,0,0,1,0,52055
10007,1000,H_DIV,314159,0,41,0,0,0,1,0,61287
10007,10000,H_DIV,137,0,3728,0,0,0,1,1,58248
10007,10000,H_DIV,271828,0,3608,0,0,0,1,0,52055
10007,10000,H_DIV,314159,0,3611,0,0,0,1,0,61287
10007,100000,H_DIV,137,21,89994,4,15,25,6,9,58248
10007,100000,H_DIV,271828,17,89993,4,7,16,6,9,52055
10007,100000,H_DIV,314159,9,89993,4,8,18,6,10,61287
10007,1000,H_MUL,137,0,37,0,0,0,1,0,46808
10007,1000,H_MUL,271828,0,53,0,0,0,1,0,54019
10007,1000,H_MUL,314159,0,56,0,0,0,1,0,58001
10007,10000,H_MUL,137,0,3670,0,0,0,1,0,46808
10007,10000,H_MUL,271828,0,3755,0,0,0,1,0,54019
10007,10000,H_MUL,314159,0,3695,0,0,0,1,0,58001
10007,100000,H_MUL,137,13,89995,4,9,23,6,9,46808
10007,100000,H_MUL,271828,11,89993,4,9,19,6,9,54019
10007,100000,H_MUL,314159,10,89993,4,9,18,6,9,58001
10007,1000,H_FOLD,137,0,248,0,0,0,1,0,18076
10007,1000,H_FOLD,271828,0,236,0,0,0,1,0,14985
10007,1000,H_FOLD,314159,0,224,0,0,0,1,0,13935
10007,10000,H_FOLD,137,0,7874,2,0,1,4,5,18076
10007,10000,H_FOLD,271828,0,7856,1,0,0,4,5,14985
10007,10000,H_FOLD,314159,0,7867,2,0,0,4,5,13935
10007,100000,H_FOLD,137,65,97342,27,66,175,30,56,18076
10007,100000,H_FOLD,271828,68,97333,27,62,150,30,56,14985
10007,100000,H_FOLD,314159,57,97338,27,58,131,30,56,13935
100003,1000,H_DIV,137,0,2,0,0,0,1,0,453407
100003,1000,H_DIV,271828,0,4,0,0,0,1,0,499757
100003,1000,H_DIV,314159,0,2,0,0,0,1,0,507754
100003,10000,H_DIV,137,0,465,0,0,0,1,0,453407
100003,10000,H_DIV,271828,0,516,0,0,0,1,0,499757
100003,10000,H_DIV,314159,0,479,0,0,0,1,0,507754
100003,100000,H_DIV,137,2,36705,0,2,3,1,0,453407
100003,100000,H_DIV,271828,2,36534,0,2,2,1,0,499757
100003,100000,H_DIV,314159,2,36766,0,2,3,1,1,507754
100003,1000,H_MUL,137,0,4,0,0,0,1,0,467797
100003,1000,H_MUL,271828,0,1,0,0,0,1,0,539863
100003,1000,H_MUL,314159,0,7,0,0,0,1,0,579674
100003,10000,H_MUL,137,0,501,0,0,0,1,0,467797
100003,10000,H_MUL,271828,0,465,0,0,0,1,0,539863
100003,10000,H_MUL,314159,0,499,0,0,0,1,0,579674
100003,100000,H_MUL,137,3,36960,0,2,3,1,1,467797
100003,100000,H_MUL,271828,7,36847,0,3,4,1,0,539863
100003,100000,H_MUL,314159,3,36687,0,2,3,1,0,579674
100003,1000,H_FOLD,137,0,248,0,0,0,1,0,18076
100003,1000,H_FOLD,271828,0,236,0,0,0,1,0,14985
100003,1000,H_FOLD,314159,0,224,0,0,0,1,0,13935
100003,10000,H_FOLD,137,0,7874,2,0,1,4,5,18076
100003,10000,H_FOLD,271828,0,7856,1,0,1,4,5,14985
100003,10000,H_FOLD,314159,0,7867,2,0,1,4,5,13935
100003,100000,H_FOLD,137,56,97342,27,56,124,30,56,18076
100003,100000,H_FOLD,271828,44,97333,27,49,113,30,56,14985
100003,100000,H_FOLD,314159,58,97338,27,49,107,30,56,13935
